Column1;Word;Count
3949;me;12
14767;as;12
14427;aflikasi;12
4002;flas;12
9969;pmbeli;12
6887;nyadan;12
1086;kenpa;12
1067;setatus;12
1502;biyaya;12
2154;donlot;12
802;grtis;12
2578;becus;12
3504;trm;12
4491;paking;12
5486;reg;12
7485;samapai;12
3416;bbrapa;12
9076;ken;12
6560;bisabisa;11
6688;s;11
2713;adm;11
16168;mantaf;11
3115;gestun;11
6877;mnurut;11
7633;bkl;11
3053;jlas;11
7241;idam;11
3075;pelatiha;11
2921;ndk;11
15070;skiil;11
2463;tri;11
18882;voc;11
8393;faq;11
1676;gercep;11
4803;mala;11
8316;nyantol;11
4189;rebut;11
6125;ahir;11
4731;bk;11
8579;onkir;11
3740;ngawur;11
3920;smuanya;11
10448;plapak;11
1849;gonta;11
6053;sring;11
6111;amplikasi;11
6120;des;11
5853;fe;11
1215;ads;11
8217;bklpk;11
3226;donwload;11
1583;tikar;11
9585;yp;10
7863;pembyaran;10
1472;rim;10
7238;buklap;10
9020;sya;10
5845;mbok;10
8919;tggu;10
10474;dashbor;10
4426;aplkasi;10
7212;agus;10
345;ngechat;10
7135;apdet;10
1642;nunggunya;10
4224;padah;10
14651;reting;10
2776;rasai;10
412;pis;10
15121;cpat;10
1207;sh;10
8756;ngapa;10
5728;ramadhan;10
5696;nggu;10
10300;diskil;10
3302;dalem;10
953;komfirmasi;10
12206;haduh;10
3365;ceklis;10
6654;donload;10
8308;dsuruh;10
10992;tuhan;10
3427;dobel;10
9262;lean;10
5143;dibl;10
5073;p;10
12815;gita;10
223;katagori;10
5174;berharihari;10
7744;adatapi;10
3107;pernh;10
6465;mnunggu;10
16548;lalau;10
7817;cuan;10
8514;apaapa;10
6115;tokotoko;10
2504;ta;10
7279;barng;9
9823;ngeleg;9
7860;bismillah;9
4770;benerbener;9
7214;maks;9
2536;rusa;9
4661;kompalin;9
15367;membntu;9
9384;scil;9
4651;os;9
5312;vochernya;9
7252;sanagat;9
4771;gaptek;9
5461;aplication;9
7580;from;9
4577;tanks;9
16264;blnj;9
4479;pantengin;9
7253;pembayarn;9
4477;c;9
4472;pelang;9
4886;ain;9
9200;dibales;9
7068;dengn;9
8960;yapadahal;9
3432;payleternya;9
12235;ghoib;9
6569;kembaliin;9
12182;sa;9
3410;kiamat;9
11971;kasi;9
11879;pokoke;9
3437;tol;9
3454;rekomendet;9
6145;tlfn;9
13531;reedem;9
6307;basi;9
3160;playleter;9
3154;bulapak;9
3118;dapt;9
12486;dkirim;9
6269;transaki;9
13185;much;9
3086;faham;9
12365;nyasaya;9
3069;slesai;9
12270;ofline;9
6558;menyelasaikan;9
3629;hah;9
4125;po;9
8687;okeh;9
4066;sim;9
10273;academydan;9
2728;kampret;9
4177;untu;9
4281;ribed;9
4398;munculmuncul;9
3828;buanyak;9
6847;baasitu;9
13592;skillacademi;9
5971;sus;9
2874;traksaksi;9
5926;applikasinya;9
3887;joz;9
5766;hehehehe;9
14193;okey;9
6105;sri;9
16600;saller;9
2054;kebel;9
268;spaylater;9
648;bukalapal;9
1551;beranta;9
1315;dowload;9
2309;chating;9
1595;lansung;9
1388;aktiv;9
950;komplan;9
1337;shopi;9
906;promot;9
1097;komplein;9
10304;stlah;8
1174;nuhun;8
7234;gram;8
3823;yt;8
5675;denga;8
11752;sgera;8
5362;daptar;8
8550;cz;8
9395;mslah;8
4318;bia;8
3891;mash;8
762;page;8
11992;tda;8
7194;thd;8
2922;adad;8
8612;kgk;8
8927;lol;8
9783;teh;8
8868;srh;8
5547;apload;8
4232;aplilasi;8
9723;gubris;8
7389;wati;8
9535;succes;8
1440;rbu;8
6147;mintak;8
2980;blur;8
6232;tmpat;8
6064;adek;8
4647;selau;8
17365;cas;8
3145;dtng;8
24342;ivent;8
2064;batre;8
8623;komplai;8
7264;alhamdulillaah;8
8897;serifikat;8
4039;suport;8
9459;stts;8
6271;dikembaliin;8
4073;handpone;8
2009;sang;8
2786;blnya;8
3413;lapa;8
10647;jwaban;8
922;pngguna;8
13680;propesional;8
6723;rangin;8
9191;kuatir;8
7022;ratting;8
11351;pmbelian;8
9193;wassalam;8
8419;ntuk;8
2245;recomendasi;8
6693;muhamad;8
10737;trnyta;8
10952;nmor;8
10950;chekout;8
13820;bagua;8
5077;tik;8
5071;lampirin;8
5809;nurul;8
10839;onlin;8
907;mutermuter;8
6933;suguh;8
18003;tggl;8
3561;eks;8
8023;flasdeal;8
5832;allhamdulillah;8
11392;transper;8
12903;impi;8
1985;puyeng;8
8372;jdinya;8
5922;kenyam;8
6637;donlod;8
5738;bis;8
13598;terimasih;8
8399;utuk;8
6603;beberpa;8
8397;ids;8
5735;greget;8
7932;angus;8
9021;cakep;8
8323;gin;8
6591;dimna;8
2246;apliaksi;8
4889;kadarluarsa;8
10493;bal;8
7954;pmbayaran;8
3710;kwh;8
5741;lagidan;8
5283;haisaya;8
4348;trimkasih;7
4284;this;7
13384;wasalam;7
9126;gaib;7
9124;shpe;7
7547;ongkirny;7
4216;hei;7
2931;oiya;7
9224;aploud;7
4445;psb;7
3517;my;7
4265;loging;7
9450;sekli;7
2226;lawas;7
13264;trimah;7
7427;custemer;7
6601;melaui;7
10507;maudiputar;7
11469;repon;7
20921;prlatihan;7
10426;ditrima;7
1808;initapi;7
20546;perakerja;7
6566;spinwin;7
7119;respont;7
6543;amat;7
3259;krg;7
11036;pitur;7
6909;atuh;7
11071;nnya;7
3477;najis;7
3449;rekom;7
3420;tulisanya;7
11315;trnsfer;7
11320;adminya;7
3655;updat;7
3390;otw;7
3836;ajg;7
4200;mi;7
6327;uras;7
12467;assalamuallaikum;7
6283;man;7
19546;bangus;7
4075;kalaw;7
6255;sory;7
7329;masalh;7
4086;boongan;7
19250;bukalapaksy;7
4132;etol;7
6149;cansel;7
1068;sytem;7
9611;selernya;7
3972;matiin;7
10269;setifikat;7
3191;flatform;7
2022;nagih;7
6488;peser;7
3874;rit;7
10183;barangya;7
3203;duwit;7
7209;alhamdullilah;7
1742;sajah;7
7220;hey;7
10118;aisah;7
2053;kulir;7
19898;jebol;7
13851;sekalisaya;7
12246;selesei;7
6884;bukalapakkarna;7
17316;peroses;7
2599;pket;7
5236;adi;7
16213;oi;7
4592;dj;7
8250;planggan;7
8545;pngiriman;7
14032;berkwalitas;7
14527;halah;7
4567;inj;7
1248;pedahal;7
5012;codnya;7
8571;masang;7
2762;be;7
15544;euy;7
14124;seprti;7
5691;pers;7
15058;klick;7
15047;ttpi;7
7764;segara;7
8888;mks;7
5386;banya;7
2553;uinstal;7
15961;bukalapakbanyak;7
8683;skillakademy;7
8111;baikdan;7
1499;sue;7
7654;akhirat;7
8135;pinjem;7
14548;aplk;7
7664;aplikasix;7
5467;mangkin;7
14597;muslim;7
2237;yamg;7
5024;mem;7
13860;dgunakan;7
5392;singkron;6
7173;tingkatkn;6
7172;duper;6
20275;mencet;6
11895;apalikasi;6
9942;debet;6
7146;orangorang;6
3831;enjoy;6
3261;sono;6
15046;padhal;6
1257;mls;6
3839;lngsng;6
2564;kedok;6
11888;trim;6
11894;ning;6
8559;jdid;6
10106;ngemis;6
278;itung;6
5445;bi;6
10083;fiture;6
377;sbelumnya;6
20131;slma;6
10173;jancok;6
2584;apkikasi;6
3199;cuek;6
19822;masarakat;6
7208;dalih;6
617;kostumer;6
7211;andi;6
6542;initolong;6
16072;makenya;6
11196;vhoucer;6
11264;mantapsaya;6
5020;bodo;6
5203;layananya;6
2465;tercancel;6
3810;astuti;6
11308;kirm;6
10640;molor;6
6731;negonya;6
5215;playanan;6
15495;apdate;6
10605;walopun;6
3660;luama;6
16068;belanjan;6
6965;rahmat;6
15810;percumah;6
6859;dalm;6
22234;mbantu;6
3488;wan;6
5064;bsm;6
8025;kontol;6
15639;kwalitasnya;6
11102;costomer;6
21735;ng;6
11160;dam;6
21705;lm;6
7023;bin;6
23217;terakir;6
8360;katany;6
11641;upgred;6
15208;ramadan;6
23335;insyaallah;6
11700;shingga;6
5351;wahyu;6
15071;pb;6
4936;trakhir;6
2482;bulak;6
8265;belu;6
8266;waswas;6
11382;kenan;6
10539;casbacknya;6
10538;oia;6
11424;nak;6
10512;inisemoga;6
16286;truz;6
11427;assalamualikum;6
6655;dihp;6
11542;onlain;6
23109;mantaap;6
3724;alamin;6
983;tai;6
12472;korona;6
1081;menuhin;6
4229;imail;6
5630;ora;6
9505;langanan;6
17295;vertivikasi;6
18717;ongkirx;6
6009;fikir;6
25676;alamt;6
5660;thks;6
6030;akhirakhir;6
14153;tlf;6
14138;lite;6
9538;terverivikasi;6
772;ratarata;6
4161;sampa;6
3022;mnit;6
7412;mntap;6
1190;ancur;6
9605;studiilmu;6
4217;jelasjelas;6
8831;alhmdulilah;6
5695;barangx;6
2918;siasia;6
19131;lpk;6
1538;hadeeh;6
26982;gerat;6
9182;acedemy;6
4439;same;6
13916;pubg;6
26933;casbak;6
9165;cacad;6
2794;nampilin;6
1525;ngaktifin;6
9131;ina;6
7663;gembel;6
5859;mkasih;6
4417;ngelapak;6
13183;unt;6
5699;starup;6
4594;lodingnya;6
7671;mmbantu;6
13998;audah;6
9247;ajib;6
12650;your;6
9830;jdnya;6
14516;maudikode;6
14582;ih;6
12631;updete;6
9720;hoak;6
6234;thnks;6
7777;ahirnya;6
9702;bay;6
13520;nganter;5
3642;gera;5
10994;alaikum;5
1236;lap;5
16103;patih;5
5915;konfir;5
14022;tungu;5
17910;sihtapi;5
5722;freeongkir;5
6342;wlw;5
4402;bete;5
16080;ongkirdan;5
3626;ngehang;5
11004;ongkirtapi;5
11273;bayu;5
12563;terimakaaih;5
12386;penjulan;5
